,n_pos,Tense : ['Imp'],Mood : ['Cnd'],Number : ['Plur'],Number : ['Sing'],n_stem,nb_mot,ratio_stop,sect 4,Gender : ['Masc'],Mood : ['Imp'],sect 6,sect 5,ratio_tok,sect 0,lg_phrase,n_tok,VerbForm : ['Part'],Mood : [],Tense : [],Voice : ['Pass'],Number : [],Tense : ['Fut'],Mood : ['Sub'],Person : [],sect 3,n_stop,mean_par,Voice : [],nb_phrase,ratio_stem,sect 2,Gender : ['Fem'],punct,VerbForm : ['Inf'],VerbForm : ['Fin'],Person : ['3'],Person : ['2'],n_par,Tense : ['Pres'],Mood : ['Ind'],Person : ['1'],sect 1,Tense : ['Past'],Gender : []
Fruit (alimentation humaine),14,2,1,62,68,526,1418,0.38928067700987307,0,61,0,0,0,0.4203102961918195,0,163.47272727272727,596,92,109,17,10,23,0,0,109,0,552,0.06305660763640086,143,55,0.016166281755196306,0,25,5.1454545454545455,17,44,43,0,18,45,43,1,0,89,67
Frédéric Chopin,15,83,9,193,1024,3292,14581,0.38337562581441603,0,407,0,0,0,0.25286331527330086,0,108.36822660098522,3687,714,946,234,36,367,22,17,948,0,5590,0.04349175101106285,1548,812,0.0016659262549977788,0,188,3.6502463054187193,232,638,626,0,181,614,612,10,0,631,989
Fumer,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,35.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
Fungi,15,15,7,178,266,1733,5897,0.40156011531287095,0,136,0,0,0,0.33644225877564865,0,156.88976377952756,1984,296,381,86,21,143,7,3,382,0,2368,0.1351032574896528,566,254,0.0042456835550523635,0,108,3.6929133858267718,85,206,198,0,158,222,196,7,0,257,343
Fusée (astronautique),14,14,4,171,469,1481,6098,0.41849786815349294,0,129,0,0,0,0.27533617579534275,0,156.58943089430895,1679,479,582,103,65,180,4,8,582,0,2552,0.08680262541022035,755,246,0.003945885005636978,0,284,3.459349593495935,103,238,235,0,98,280,226,3,0,419,407
Féminisme,15,14,5,156,332,2073,6892,0.387695879280325,0,129,0,0,0,0.3396691816598955,0,165.62835249042146,2341,281,397,116,19,164,19,1,397,0,2672,0.3812982232604233,633,261,0.0035502958579881655,0,107,4.42911877394636,116,255,251,0,70,258,249,4,0,245,416
Galaxie,14,20,2,136,266,1191,4851,0.3762110904968048,0,79,0,0,0,0.2937538651824366,0,142.76146788990826,1425,261,335,74,28,136,8,5,335,0,1825,0.04387163372499013,510,218,0.004626569729015202,0,120,3.6513761467889907,74,203,199,0,44,228,196,4,0,208,339
Galilée (savant),15,42,6,127,801,2546,9339,0.39811542991755006,0,227,0,0,0,0.3073134168540529,0,140.53095238095239,2870,558,770,213,43,282,31,7,771,0,3718,0.049507946112933535,1167,420,0.0026680896478121665,0,268,4.538095238095238,212,440,423,2,99,416,427,14,0,508,715
Gastro-entérite,13,1,0,38,62,534,1403,0.4012829650748396,0,32,0,0,0,0.42979330007127586,0,132.60294117647058,603,68,126,58,8,75,1,1,126,0,563,0.08053826069491866,167,68,0.015476190476190477,0,21,3.75,58,49,45,2,21,59,48,2,0,56,122
Gengis Khan,15,18,1,128,316,1556,4538,0.38034376377258705,0,177,0,0,0,0.3836491846628471,0,144.6443298969072,1741,320,383,63,23,116,15,3,383,0,1726,0.06906936397263413,537,194,0.005326704545454545,0,95,4.628865979381444,63,177,171,1,64,177,173,5,0,287,288
Genre (sciences sociales),14,24,4,135,368,1463,6440,0.40108695652173915,0,178,2,0,0,0.26583850931677017,0,202.075,1712,298,454,157,30,190,11,3,455,0,2583,0.08045304091328725,663,200,0.003629764065335753,0,92,4.42,156,239,230,3,66,215,230,5,0,286,423
Giuseppe Verdi,14,49,7,213,1152,3209,15422,0.41466735831928414,0,444,0,0,0,0.23751783166904422,0,174.2736220472441,3663,749,1073,324,63,451,61,14,1073,0,6395,0.017749398278912837,1753,508,0.0015505593088935652,0,191,4.078740157480315,324,743,723,0,54,708,722,20,0,674,1181
Glacier,14,11,4,104,238,1061,4503,0.411503442149678,0,101,1,0,0,0.27381745502998,0,161.12209302325581,1233,205,288,83,15,139,5,3,288,0,1853,0.06965108187812717,466,172,0.005283018867924529,0,54,3.953488372093023,83,193,187,2,70,218,185,4,0,164,326
Global Positioning System,14,11,2,122,252,1195,4772,0.4124056999161777,0,116,0,0,0,0.2933780385582565,0,163.3244680851064,1400,249,342,93,29,153,6,2,342,0,1968,0.04683610436706721,498,188,0.004991087344028521,0,86,3.867021276595745,93,185,185,0,64,211,181,0,0,206,325
Gnosticisme,15,23,5,110,304,1563,5144,0.38160964230171074,0,158,0,0,0,0.34467340590979784,0,141.95890410958904,1773,281,380,99,27,149,11,2,380,0,1963,0.02242096764176138,536,219,0.00471253534401508,0,78,4.392694063926941,99,183,180,0,50,182,176,3,0,248,327
Go (jeu),15,15,7,93,325,1554,5172,0.3779969064191802,0,149,1,0,0,0.34725444702242847,0,136.36016949152543,1796,242,367,125,17,165,12,4,367,0,1955,0.06273475356251972,566,236,0.0046612802983219395,0,56,4.326271186440678,125,216,209,1,84,218,204,6,0,213,378
Gottfried Wilhelm Leibniz,16,93,12,233,1172,3180,15636,0.40764901509337426,0,583,0,0,0,0.2341391660271169,0,153.1484375,3661,974,1280,306,65,474,47,19,1280,0,6374,0.03841600683123739,1814,640,0.0017261840543747978,0,230,4.5546875,306,599,588,1,152,596,568,10,0,837,1066
Gouvernement,14,3,1,38,126,643,1933,0.39213657527159856,0,57,0,0,0,0.3828246249353337,0,155.79012345679013,740,101,172,71,8,86,5,2,172,0,758,0.013718466580291137,242,81,0.011914893617021277,0,31,4.148148148148148,71,78,78,0,7,79,75,0,0,92,162
Graine,15,0,3,64,65,671,1708,0.3788056206088993,0,38,0,0,0,0.4420374707259953,0,114.52475247524752,755,92,126,35,15,49,1,1,127,0,647,0.07215439149271367,163,101,0.014111006585136407,0,41,3.485148514851485,34,52,50,0,37,60,48,1,0,82,99
Grammaire,13,3,0,14,30,251,604,0.3791390728476821,0,16,0,0,0,0.5066225165562914,0,144.20689655172413,306,29,38,9,7,13,0,0,38,0,229,0.039720153464229295,50,29,0.034666666666666665,0,9,3.8275862068965516,9,19,19,0,6,20,19,0,0,25,32
Grand Canyon,14,5,3,72,126,871,2505,0.39880239520958083,0,55,0,0,0,0.38802395209580837,0,117.78125,972,124,175,51,8,70,2,1,175,0,999,0.03904636756147926,260,128,0.0092899800928998,0,51,3.3359375,51,93,91,0,28,97,89,2,0,113,162
Grande Barrière,15,9,2,56,100,690,1984,0.41481854838709675,0,69,0,0,0,0.40524193548387094,0,136.65934065934067,804,117,153,36,3,59,1,1,153,0,823,0.03573614937251301,212,91,0.012908777969018933,0,31,3.241758241758242,36,62,62,0,12,65,59,0,0,104,115
Grande Dépression,16,21,4,120,311,1557,5227,0.37975894394490145,0,141,0,0,0,0.3445571073273388,0,170.96446700507613,1801,281,401,120,25,164,18,9,401,0,1985,0.029290853031860225,570,197,0.004933703361085414,0,109,4.771573604060913,120,194,192,0,39,177,181,2,0,259,345
Grande Muraille,15,4,0,51,181,1000,3065,0.3761827079934747,0,57,0,0,0,0.3690048939641109,0,136.79562043795622,1131,149,190,41,5,69,1,1,190,0,1153,0.029967891544773455,296,137,0.007841087297438577,0,68,3.897810218978102,41,111,109,0,26,127,110,2,0,128,176
Grandes découvertes,15,19,7,253,684,2765,11236,0.3921324314702741,0,288,1,0,0,0.2726949092203631,0,149.40127388535032,3064,589,839,250,40,355,16,13,839,0,4406,0.014063451636122031,1252,471,0.0021945866861741038,0,199,3.583864118895966,250,453,442,3,54,500,432,8,0,507,805
Grands Lacs (Amérique du Nord),14,1,1,55,94,646,1801,0.38478622987229316,0,41,0,0,0,0.4058856191004997,0,156.1095890410959,731,85,113,29,8,48,3,2,114,0,693,0.02359807155544278,189,73,0.01263537906137184,0,27,3.8767123287671232,28,84,83,0,10,92,81,0,0,72,129
Gravitation,15,4,2,28,174,799,2795,0.4,0,52,0,0,0,0.3280858676207513,0,176.13,917,126,174,48,9,73,3,1,174,0,1118,0.0811577752553916,266,100,0.008928571428571428,0,50,4.74,48,101,101,0,36,113,98,0,0,107,173
Grec,13,3,0,11,34,245,612,0.3954248366013072,0,20,0,0,0,0.4722222222222222,0,179.66666666666666,289,30,38,8,2,9,0,0,38,0,242,0.13936265709156193,52,21,0.03513513513513514,0,9,5.333333333333333,8,16,16,0,15,13,16,0,0,30,25
Grippe,14,13,8,133,267,1566,5832,0.3921467764060357,0,133,0,0,0,0.3129286694101509,0,172.0418604651163,1825,265,365,100,27,155,5,7,365,0,2287,0.08076781100036914,528,215,0.0039492242595204514,0,84,4.134883720930232,100,190,185,0,116,212,175,5,0,225,338
Grossesse,14,12,9,183,392,2071,7976,0.38803911735205615,0,159,0,0,0,0.29964894684052157,0,163.26100628930817,2390,318,486,168,34,236,14,6,486,0,3095,0.0802170868347339,777,318,0.002868264699856587,0,98,4.355345911949685,168,325,324,0,125,344,310,1,0,273,554
Grèce antique,15,49,15,1020,1795,5122,35732,0.3992499720138811,0,816,2,0,0,0.17211463114295308,0,180.64251968503936,6150,1793,2337,544,157,949,18,32,2337,0,14266,0.06667124083820349,3607,1270,0.0006986818202990358,0,619,4.866141732283465,544,1427,1407,3,476,1655,1378,17,0,1498,2329
Guerre,16,30,6,169,477,2432,8827,0.3885804916732752,0,182,0,0,0,0.3203806502775575,0,202.29390681003585,2828,396,625,229,31,317,11,5,625,0,3430,0.08751602564102565,932,279,0.0029635117614373032,0,133,5.537634408602151,229,338,335,0,119,367,327,3,0,326,648
Guerre de Corée,15,58,5,248,505,2294,10086,0.4014475510608765,0,282,1,0,0,0.26511996827285345,0,184.96470588235294,2674,508,679,171,40,261,14,6,679,0,4049,0.04328286179646498,974,340,0.002484266313348791,0,147,4.714705882352941,171,335,326,1,85,306,323,8,0,465,585
Guerre froide,16,69,19,684,1395,4476,27260,0.40807043286867206,0,633,2,0,0,0.18778429933969185,0,189.34649122807016,5119,1237,1792,557,85,757,47,35,1793,0,11124,0.009089047640715293,2751,912,0.0009913873226346118,0,425,4.520833333333333,555,1044,1012,2,96,1074,988,29,0,1089,1778
Guerres napoléoniennes,14,14,2,100,324,1267,5247,0.41852487135506006,0,128,0,0,0,0.2746331236897275,0,130.34873949579833,1441,276,391,115,25,169,8,3,391,0,2196,0.07121521308372519,568,238,0.004588659455916093,0,102,3.0,115,202,198,0,83,210,197,4,0,246,363
Guru Granth Sahib,13,0,0,9,26,202,432,0.3587962962962963,0,21,0,0,0,0.5625,0,119.52380952380952,243,24,33,10,1,10,1,0,34,0,155,0.06567489114658925,44,21,0.04693140794223827,0,3,3.7142857142857144,9,12,10,1,11,10,12,0,0,24,21
Guru Nanak,14,1,1,32,82,525,1421,0.4004222378606615,0,57,0,0,0,0.43209007741027444,0,130.06153846153848,614,84,119,35,5,52,4,0,119,0,569,0.08501333333333333,161,65,0.01643192488262911,0,12,3.9846153846153847,35,47,46,0,23,56,46,1,0,70,97
Gyroscope,12,0,0,1,17,123,231,0.4025974025974026,0,2,0,0,0,0.6493506493506493,0,68.85714285714286,150,9,21,12,0,16,0,0,21,0,93,0.8424889076695542,34,21,0.08391608391608392,0,3,3.1904761904761907,12,13,13,0,24,17,13,0,0,5,29
Gène,14,3,1,89,155,929,3096,0.38275193798449614,0,101,0,0,0,0.34205426356589147,0,140.19014084507043,1059,172,209,37,22,79,5,0,209,0,1185,0.0816957787481805,301,142,0.007326007326007326,0,35,3.971830985915493,37,114,111,0,51,140,113,3,0,138,187
Génie génétique,14,1,1,47,116,708,2314,0.39671564390665515,0,69,0,0,0,0.3617113223854797,0,170.6265060240964,837,125,183,58,10,81,8,0,183,0,918,0.037271259418729816,234,83,0.01002865329512894,0,43,3.2289156626506026,58,61,61,0,17,65,60,0,0,112,132
Génie mécanique,9,0,0,5,12,101,225,0.24444444444444444,0,8,0,0,0,0.52,0,61.43333333333333,117,13,16,3,0,3,0,0,16,0,55,0.10354477611940298,20,30,0.05263157894736842,0,5,2.0,3,4,4,0,15,3,4,0,0,14,7
Génétique,14,2,0,66,184,1068,3267,0.40342822161003977,0,75,1,0,0,0.369452096724824,0,150.94927536231884,1207,154,206,52,11,83,12,2,206,0,1318,0.05958757364756294,322,138,0.007183170856849667,0,53,3.869565217391304,52,127,125,1,37,135,124,1,0,132,205
Géographie,14,10,1,96,215,1289,4288,0.3747667910447761,0,76,0,0,0,0.34421641791044777,0,163.21857923497268,1476,185,263,78,18,110,8,4,263,0,1607,0.09876469535119652,403,183,0.005218039508013418,0,79,4.863387978142076,78,158,156,0,96,165,153,2,0,160,266
Géologie,14,0,1,53,114,790,2548,0.40345368916797486,0,43,0,0,0,0.3563579277864992,0,188.25,908,97,145,48,9,62,0,2,145,0,1028,0.05461868958109559,220,92,0.009204470742932281,0,43,4.608695652173913,48,84,82,0,36,93,81,2,0,88,143
Géométrie,14,2,2,67,144,726,2661,0.4051108605787298,0,55,1,0,0,0.31942878617061254,0,153.64655172413794,850,141,177,36,15,58,0,0,177,0,1078,0.07242954673784713,254,116,0.008832807570977918,0,68,3.7586206896551726,36,92,89,1,39,106,89,2,0,125,146
Hammurabi,14,4,1,25,72,561,1472,0.38722826086956524,0,29,0,0,0,0.4361413043478261,0,126.8082191780822,642,73,108,35,2,56,1,2,108,0,570,0.003600169419737399,151,73,0.015469613259668509,0,23,4.123287671232877,35,45,44,0,1,60,42,1,0,53,101
Himalaya,15,7,3,58,195,1014,3027,0.40138751238850345,0,79,0,0,0,0.3676907829534192,0,157.97435897435898,1113,144,185,41,7,68,10,4,185,0,1215,0.06145896046558298,314,117,0.00827357970215113,0,40,5.085470085470085,41,136,134,0,67,137,129,2,0,126,202
Hindouisme,15,18,5,135,391,1671,6193,0.4052963022767641,0,170,1,0,0,0.3124495398030034,0,166.1239316239316,1935,330,432,102,39,160,7,6,432,0,2510,0.3440494074445001,647,234,0.004071661237785016,0,105,5.166666666666667,102,254,250,2,218,275,242,2,0,284,411
Hindoustani,9,0,0,1,4,32,67,0.31343283582089554,0,2,0,0,0,0.6417910447761194,0,93.8,43,2,2,0,1,0,0,0,2,0,21,0.19224555735056542,4,5,0.1956521739130435,0,0,2.6,0,3,3,0,1,3,3,0,0,2,3
Hip-hop,15,14,4,109,348,1911,6473,0.370152942993975,0,148,0,0,0,0.326123899273907,0,148.35955056179776,2111,301,422,121,18,180,16,4,422,0,2396,0.04860434730965673,619,267,0.0036755697133055622,0,95,4.749063670411985,121,215,208,0,107,217,207,7,0,269,394
Histoire,15,16,3,99,294,1574,5141,0.38416650457109514,0,105,0,0,0,0.3472087142579265,0,164.61764705882354,1785,235,336,101,22,143,9,10,336,0,1975,0.04011209873747382,514,204,0.004734848484848485,0,88,5.014705882352941,101,200,194,0,46,207,187,6,0,203,343
Histoire de l'Afrique,14,27,7,239,564,2668,10114,0.38975677279019183,0,251,0,0,0,0.2983982598378485,0,190.19881305637983,3018,507,668,162,33,242,12,8,669,0,3942,0.051018759273133256,1012,337,0.002267941033533128,0,181,5.753709198813056,161,377,368,0,93,391,362,8,0,453,613
Histoire de l'Amérique,14,1,2,31,53,462,1100,0.4090909090909091,0,31,0,0,0,0.47454545454545455,0,211.21875,522,56,64,8,3,15,3,0,64,0,450,0.02571387981247336,96,32,0.021538461538461538,0,19,5.15625,8,35,30,2,9,35,33,3,0,52,49
Histoire de l'Europe,16,12,6,193,414,2219,7617,0.4005513981882631,0,161,0,0,0,0.32545621635814626,0,205.41666666666666,2479,348,453,105,40,146,15,5,453,0,3051,0.10808240318702221,713,240,0.0035026269702276708,0,154,6.320833333333334,105,300,290,0,122,297,289,10,0,324,438
Histoire de l'Inde,14,11,1,131,317,1778,5394,0.38153503893214685,0,152,0,0,0,0.367816091954023,0,140.5582329317269,1984,274,362,88,13,134,13,6,362,0,2058,0.01955732845785202,569,249,0.004196642685851319,0,78,4.216867469879518,88,220,215,1,38,233,213,4,0,237,352
Histoire de l'agriculture,15,65,20,629,1004,4244,20600,0.40640776699029124,0,511,1,0,0,0.23966019417475729,0,158.95176470588234,4937,1061,1465,404,114,571,21,21,1465,0,8372,0.23031544957774466,2090,850,0.0012264922322158627,0,419,4.270588235294118,404,739,724,1,455,754,697,14,0,960,1274
Histoire de l'art,15,5,3,57,123,939,2700,0.39555555555555555,0,47,1,0,0,0.4003703703703704,0,180.5148514851485,1081,108,159,52,7,70,4,0,160,0,1068,0.22696488294314382,243,101,0.009174311926605505,0,46,6.841584158415841,51,91,84,2,119,94,87,4,0,95,157
Histoire de la Chine,15,24,2,156,428,1980,7128,0.3966049382716049,0,160,0,0,0,0.31958473625140293,0,148.59735973597358,2278,362,497,135,25,192,5,5,497,0,2827,0.03684666962793747,751,303,0.0034875610323180655,0,150,3.9867986798679866,135,279,277,0,60,286,272,2,0,326,466
Histoire de la Terre,15,23,13,317,839,2611,14480,0.3931629834254144,0,318,2,0,0,0.2134668508287293,0,176.4409005628518,3091,822,1080,259,73,466,17,20,1081,0,5693,0.02425108456524868,1549,533,0.0017062905243999545,0,309,4.956848030018762,258,542,532,3,96,655,507,6,0,668,995
Histoire de la musique,14,17,2,89,191,1325,3884,0.3926364572605561,0,73,0,0,0,0.3916065911431514,0,167.18666666666667,1521,166,239,73,13,103,8,3,239,0,1525,0.0398975247711261,370,150,0.005932203389830509,0,68,4.233333333333333,73,144,140,1,22,141,139,3,0,144,242
Histoire de la peinture,14,29,4,111,383,1806,6949,0.4075406533314146,0,205,0,0,0,0.2958699093394733,0,179.45021645021646,2056,349,434,85,32,123,9,5,434,0,2832,0.02402332361516035,585,231,0.003399708596406022,0,113,3.722943722943723,85,183,180,0,48,162,174,3,0,332,299
Histoire des mathématiques,14,23,2,192,582,2303,9104,0.3976274165202109,0,238,1,0,0,0.29097100175746926,0,158.0131926121372,2649,435,600,165,40,236,25,10,600,0,3620,0.03543871955107767,970,379,0.002549626661810235,0,135,4.205804749340369,165,410,394,1,101,413,397,15,0,384,637
Histoire des sciences,15,32,4,183,438,2057,7637,0.4128584522718345,0,183,0,0,0,0.3095456331020034,0,148.0328358208955,2364,363,496,133,40,192,19,4,496,0,3153,0.057855586445262605,773,335,0.0033429908624916425,0,136,4.002985074626865,133,317,307,0,100,303,309,10,0,326,494
Histoire des techniques,14,13,4,80,200,1176,3790,0.3883905013192612,0,114,0,0,0,0.36226912928759897,0,197.328125,1373,211,294,83,24,118,6,1,294,0,1472,0.0580991124260355,374,128,0.0060396893874029335,0,73,5.9375,83,104,104,0,35,104,99,0,0,192,211
Histoire des États-Unis,14,26,4,307,530,2784,10631,0.3927194055121814,0,266,2,0,0,0.29733797385006117,0,135.00595238095238,3161,467,678,211,15,287,19,8,678,0,4175,0.024134551188260862,1109,504,0.0021678538247135335,0,134,3.759920634920635,211,446,438,2,49,452,432,6,0,416,724
Histoire du Japon,15,33,8,515,1147,4442,21109,0.4046615187834573,0,449,0,0,0,0.2365815528921313,0,158.9667852906287,4994,1009,1441,432,69,642,16,27,1441,0,8542,0.020440103468513836,2235,843,0.0011934123637520884,0,358,4.2858837485172,432,863,850,0,91,976,828,13,0,847,1497
Histoire du Moyen-Orient,12,2,1,31,51,491,1183,0.39222316145393066,0,21,0,0,0,0.4826711749788673,0,355.5,571,52,68,16,3,26,0,1,68,0,464,0.029837917485265226,105,22,0.016689847009735744,0,23,8.181818181818182,16,40,39,0,8,46,38,1,0,44,64
Histoire du monde,14,14,3,183,299,1659,5587,0.4030785752640057,0,107,1,0,0,0.33631644889923035,0,163.1390134529148,1879,248,333,85,19,118,12,4,333,0,2252,0.01793494239970064,581,223,0.004197901049475262,0,109,4.744394618834081,85,267,261,1,36,267,259,5,0,222,384
Histoire du vol spatial,15,101,8,339,1014,3033,16049,0.396660228051592,0,514,2,0,0,0.22132220076017198,0,168.0777027027027,3552,1005,1417,412,87,574,28,12,1417,0,6366,0.028602370960567794,1840,592,0.0015478278815395728,0,350,5.048986486486487,412,510,491,4,108,459,488,15,0,927,1063
Histoire littéraire,15,12,2,41,87,618,1780,0.39269662921348314,0,35,0,0,0,0.4,0,159.86567164179104,712,72,125,53,7,61,1,1,125,0,699,0.03551085795656817,182,67,0.013863216266173753,0,28,4.044776119402985,53,64,62,0,18,56,61,2,0,67,126
Hokusai,14,9,2,44,168,928,2480,0.3717741935483871,0,74,0,0,0,0.4189516129032258,0,139.19626168224298,1039,130,166,36,8,63,2,4,166,0,922,0.0725732179038497,267,107,0.008985879332477536,0,31,4.710280373831775,36,109,108,0,45,114,103,1,0,114,170
Homme,15,5,0,34,78,651,1752,0.3904109589041096,0,34,0,0,0,0.4252283105022831,0,153.17333333333335,745,62,84,22,2,35,3,1,84,0,684,0.03343843345502821,145,75,0.01403180542563143,0,17,4.48,22,63,61,0,16,65,62,2,0,52,96
Homo sapiens,15,16,13,181,414,2209,8363,0.38108334329785964,0,191,0,0,0,0.29905536290804735,0,170.4006309148265,2501,399,536,137,36,208,7,6,536,0,3187,0.03826031813137452,767,317,0.0028951939779965257,0,140,4.694006309148265,137,267,262,1,67,291,248,4,0,352,472
Homosexualité,15,31,12,207,462,2396,9279,0.37665696734561915,0,230,2,0,0,0.2987390882638215,0,173.8300283286119,2772,471,592,121,43,211,12,5,593,0,3495,0.2976206662134602,837,353,0.002592016588906169,0,163,5.127478753541077,121,288,283,0,159,309,269,4,0,407,487
Homère,15,9,4,95,255,1350,3968,0.3699596774193548,0,106,0,0,0,0.38130040322580644,0,162.72549019607843,1513,196,265,69,21,96,3,3,265,0,1468,0.06763267121257041,425,153,0.0059976009596161535,0,66,5.9869281045751634,69,181,174,1,69,182,174,6,0,183,274
Horloge,15,14,1,91,159,928,3177,0.385898646521876,0,67,0,0,0,0.3289266603714196,0,160.20472440944883,1045,157,230,73,13,109,7,1,230,0,1226,0.015402956604673343,346,127,0.007684426229508197,0,59,5.811023622047244,73,129,126,0,14,134,127,3,0,131,233
Hubble (télescope spatial),15,15,6,228,433,1687,7542,0.3992309732166534,0,233,0,0,0,0.2594802439671175,0,172.5,1957,478,707,229,58,304,5,1,707,0,3011,0.025262830603004334,907,288,0.0033083370092633437,0,188,4.055555555555555,229,258,255,0,94,288,251,3,0,428,544
Huile,14,2,1,50,83,494,1491,0.386317907444668,0,31,0,0,0,0.38162307176391685,0,167.56896551724137,569,76,108,32,16,43,5,1,108,0,576,0.04540174249757986,160,58,0.015267175572519083,0,35,6.379310344827586,32,68,66,0,27,64,66,2,0,73,110
Hydrogène,15,0,0,32,99,567,1869,0.38041733547351525,0,40,0,0,0,0.352059925093633,0,132.58241758241758,658,78,108,30,11,46,0,3,108,0,711,0.09104378102081635,166,91,0.012942191544434857,0,24,4.395604395604396,30,69,69,0,44,82,66,0,0,65,113
Hypertension artérielle,14,11,10,121,271,1338,4749,0.3710254790482207,0,104,0,0,0,0.32533164876816173,0,145.73008849557522,1545,252,333,81,43,129,3,8,333,0,1762,0.08465564964783907,478,226,0.004686976899899564,0,101,4.150442477876106,81,188,186,0,101,215,170,2,0,211,316
Hémorragie,14,1,0,20,93,602,1814,0.3787210584343991,0,26,0,0,0,0.3770672546857773,0,182.0,684,71,124,53,12,73,3,2,124,0,687,0.1482758620689655,174,63,0.012411347517730497,0,27,4.777777777777778,53,62,62,0,43,75,60,0,0,54,133
Hérédité,13,10,1,28,101,533,1956,0.39826175869120656,0,48,0,0,0,0.32515337423312884,0,173.18309859154928,636,81,101,20,2,38,3,0,101,0,779,0.026089000313381384,165,71,0.011035653650254669,0,19,4.014084507042254,20,66,66,0,11,66,65,0,0,68,100
Ibn Battûta,14,5,3,54,270,1196,3621,0.39657553162109915,0,125,0,0,0,0.3714443523888429,0,136.66451612903225,1345,202,278,77,11,110,7,3,279,0,1436,0.015438178569792477,423,155,0.006407322654462242,0,47,4.141935483870967,76,156,151,0,22,166,150,4,0,179,262
Ibn Khaldoun,14,18,9,169,794,2676,11293,0.385991322057912,0,347,2,0,0,0.2657398388382184,0,141.9173387096774,3001,591,866,275,32,378,8,17,866,0,4359,0.006050697297448366,1309,496,0.002019036631093164,0,148,4.207661290322581,275,475,463,2,31,524,447,10,0,516,846
